axis,level,start_time,end_time,duration_sec,peak_residual
axis6,ALERT,20336.30384413258,35690.1704284752,15353.866584342617,5.871480992178532
axis6,ALERT,10891.627675240245,18549.170362553068,7657.542687312824,5.6301869574891175
axis6,ALERT,20908.45688066697,56133.21756440058,35224.760683733606,5.597316710542902
axis6,ALERT,3449.9566014493103,45710.81565111263,42260.85904966332,4.083198993824393
axis6,ALERT,27515.974823671728,76066.727836448,48550.75301277627,4.55720371983378
axis6,ALERT,54559.49266613962,59545.31721946737,4985.824553327751,6.392523278267764
axis6,ALERT,64981.22136130095,73312.40203661194,8331.180675310985,4.4912446757650555
axis6,ALERT,27638.16249167929,34936.89526928637,7298.732777607078,5.2807692733075235
axis6,ALERT,27895.217111983693,49699.74247162582,21804.525359642124,3.9231550688788412
axis6,ALERT,-7964.266225575157,11285.405081369425,19249.671306944583,4.624833914658737
axis6,ALERT,24182.756851326856,48657.89814249372,24475.141291166867,4.35351528258322
axis6,ALERT,38895.85268735896,57419.78727402366,18523.934586664705,4.213689639600836
axis6,ALERT,11024.65708647796,35382.92852443429,24358.27143795633,5.504961290514632
axis6,ALERT,15834.173244951846,40371.48437740161,24537.311132449766,4.356840760082036
axis6,ERROR,10891.627675240245,18549.170362553068,7657.542687312824,5.6301869574891175
axis7,ALERT,5426.0649869414265,47966.89972830247,42540.834741361046,4.913592674161255
axis7,ALERT,28459.814735331536,60445.225903762745,31985.41116843121,5.90560202054605
axis7,ALERT,37394.718623694585,55092.824442423946,17698.10581872936,6.1477887042713295
axis7,ALERT,17486.922276476627,18829.83798016552,1342.9157036888937,7.73263698410832
axis7,ALERT,36610.111072108135,53454.25678009753,16844.145707989395,4.9506364967302625
axis7,ALERT,27583.025719802343,29429.2153776755,1846.1896578731576,4.76401176963824
axis7,ALERT,41259.40050637221,68163.2032423344,26903.8027359622,5.308494473555324
axis7,ALERT,10456.220619627547,26880.055616084865,16423.834996457317,5.025678948707824
axis7,ALERT,61350.84644417964,61665.561803786135,314.71535960649635,6.062877253840268
axis7,ALERT,35283.54220705737,53786.65973073644,18503.117523679073,6.057846194935276
axis7,ALERT,29044.2592467008,52218.82622261137,23174.566975910573,7.586582520572
axis7,ALERT,48643.57708689768,48709.22396708889,65.64688019120513,5.763623525345863
axis7,ALERT,-2779.869326964603,434.82188144548127,3214.691208410084,5.443969973763594
axis7,ALERT,21180.794483032427,37553.16911374639,16372.374630713966,5.589134466370204
axis7,ALERT,47400.01405337037,51386.4525490051,3986.438495634735,5.12829720619335
axis8,ALERT,28322.57728834929,38526.385925092254,10203.808636742964,1.0054859113828238
axis8,ALERT,10295.111603566753,54889.3640169998,44594.25241343305,0.9480999045874383
axis8,ALERT,28861.32972097301,81410.50570273947,52549.17598176646,0.9495472447806315
axis8,ALERT,34854.076705933374,54903.87820886826,20049.801502934883,1.1311672004192628
axis8,ALERT,14786.930698230111,26415.8250309293,11628.894332699188,1.1922769633975134
axis8,ALERT,14648.446592505685,39750.18608643517,25101.739493929483,1.156427506196293
axis8,ALERT,48386.029202149984,55260.06371059365,6874.034508443663,1.157093083253403
axis8,ALERT,-4622.031251045657,45654.52502907576,50276.55628012142,1.432653337906021
axis8,ALERT,-2017.157964753089,27705.884836530007,29723.042801283096,1.3210071721881493
axis8,ALERT,52480.969692669154,91578.75456267528,39097.78487000613,0.9976054250430865
axis8,ALERT,12247.834696756654,47097.58545521026,34849.75075845361,0.8873240294884314
axis8,ALERT,32063.15909077934,60452.88883881368,28389.729748034337,0.8611858738587783
axis8,ALERT,5238.151515329635,77442.30597672862,72204.15446139898,1.111729714273048
axis8,ALERT,58272.29601062254,79767.49805989311,21495.202049270578,0.9114262760129542
axis8,ALERT,28120.81474311848,38116.92790513965,9996.11316202117,0.8630508589791126
axis8,ALERT,50285.55668426244,50532.80958612777,247.25290186532948,0.9991089553726666
axis8,ALERT,18362.995694068177,93966.25977520696,75603.26408113878,0.8750664742685837
axis8,ALERT,41641.70495329626,85206.85046443317,43565.14551113691,1.2254476903984015
axis8,ALERT,-18571.173743225365,72976.96701190609,91548.14075513146,0.9256622801035811
axis8,ALERT,28899.54427127444,48229.75357389284,19330.2093026184,1.2151851541028997
axis8,ALERT,31369.800386612347,62345.75759435381,30975.957207741463,0.9480927207969503
axis8,ALERT,-5688.909723557437,37268.552772775925,42957.46249633336,0.9561343290915427
